	Section	Mass	Depth	Width	Area	Thickness		Root	Depth	Radius for		Second Moment	
	Designation	per	of	of	of Section			Radius	between	Local Buckling		of Area	
	Serial Size	Metre	Section	Section		Web	Flange		Fillets	Flange	Web	Axis	Axis
												x-x	y-y
			D	B	A 	t	T	r	d	b / T	d / t		
		kg/m	mm	mm	cm2	mm	mm	mm	mm			cm4	cm4
UKB	762x267x173	173	762.2	266.7	220	14.3	21.6	16.5	686	6.17	48	205282	6850
UKB	762x267x147	146.9	754	265.2	187	12.8	17.5	16.5	686	7.58	53.6	168502	5455
UKB	762x267x134	133.9	750	264.4	171	12	15.5	16.5	686	8.53	57.2	150692	4788
UKB	686x254x170	170.2	692.9	255.8	217	14.5	23.7	15.2	615.1	5.4	42.4	170326	6630
UKB	686x254x152	152.4	687.5	254.5	194	13.2	21	15.2	615.1	6.06	46.6	150355	5784
UKB	686x254x140	140.1	683.5	253.7	178	12.4	19	15.2	615.1	6.68	49.6	136267	5183
UKB	686x254x125	125.2	677.9	253	159	11.7	16.2	15.2	615.1	7.81	52.6	117992	4383
UKB	610x305x238	238.1	635.8	311.4	303	18.4	31.4	16.5	540	4.96	29.3	209471	15837
UKB	610x305x179	179	620.2	307.1	228	14.1	23.6	16.5	540	6.51	38.3	153024	11408
UKB	610x305x149	149.2	612.4	304.8	190	11.8	19.7	16.5	540	7.74	45.8	125876	9308
UKB	610x229x140	139.9	617.2	230.2	178	13.1	22.1	12.7	547.6	5.21	41.8	111777	4505
